Outlet_ID,Year,Month,Distributor_ID,SKU_ID,Volume_Liters,Total_Bill_Value,Rejection_Reason,Is_Return,Lazy_Rep_Flag
OUT_00751,2025,12,DIST_W_01,SKU_01,0.0,143.93856584768102,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_08869,2023,5,DIST_W_03,SKU_10,0.0,133.0018142576226,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_09908,2023,1,DIST_C_02,SKU_09,0.0,93.9153702270344,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_18168,2024,7,DIST_S_02,SKU_01,0.0,82.59854441909839,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_16423,2025,10,DIST_NW_02,SKU_06,0.0,184.19972448031243,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_18786,2025,10,DIST_S_01,SKU_01,0.0,120.606988520364,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_03823,2025,8,DIST_W_02,SKU_04,0.0,152.1916499470384,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_11064,2023,3,DIST_C_02,SKU_03,0.0,171.86346906655154,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_18381,2025,8,DIST_S_01,SKU_09,0.0,93.769045629879,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_04356,2024,12,DIST_W_02,SKU_05,0.0,172.77500356280015,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_17129,2023,7,DIST_S_01,SKU_10,0.0,57.52099802270136,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_00821,2025,3,DIST_W_03,SKU_01,0.0,53.57632385530048,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_12587,2025,12,DIST_C_01,SKU_07,0.0,146.98604216347377,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_00908,2025,10,DIST_W_01,SKU_01,0.0,159.01356038718478,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_17777,2023,6,DIST_S_01,SKU_07,0.0,185.29805433596255,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_11749,2025,2,DIST_C_01,SKU_08,0.0,174.34196950670395,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_09071,2024,1,DIST_C_03,SKU_07,0.0,160.47530673053487,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_03442,2025,3,DIST_W_02,SKU_09,0.0,129.4617845498023,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_03424,2025,3,DIST_W_01,SKU_04,0.0,180.4841991732805,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
OUT_07787,2024,9,DIST_W_01,SKU_07,0.0,177.04509408614933,ZERO_VOLUME:system_adjustment_or_fee; ,False,False
